year_of_diagnosis,age_group,adjusted_ajcc_6th_stage,tumor_site,Age
1975,5-14 yrs,0,Axillary tail,0
1975,5-14 yrs,0,"Breast, NOS",0
1975,5-14 yrs,0,Central portion,0
1975,5-14 yrs,0,Lower-inner quadrant,0
1975,5-14 yrs,0,Lower-outer quadrant,0
1975,5-14 yrs,0,Nipple,0
1975,5-14 yrs,0,Overlapping lesion,0
1975,5-14 yrs,0,Upper-inner quadrant,0
1975,5-14 yrs,0,Upper-outer quadrant,0
1975,5-14 yrs,I,Axillary tail,0
1975,5-14 yrs,I,"Breast, NOS",0
1975,5-14 yrs,I,Central portion,0
1975,5-14 yrs,I,Lower-inner quadrant,0
1975,5-14 yrs,I,Lower-outer quadrant,0
1975,5-14 yrs,I,Nipple,0
1975,5-14 yrs,I,Overlapping lesion,0
1975,5-14 yrs,I,Upper-inner quadrant,0
1975,5-14 yrs,I,Upper-outer quadrant,0
1975,5-14 yrs,II,Axillary tail,0
1975,5-14 yrs,II,"Breast, NOS",0
1975,5-14 yrs,II,Central portion,0
1975,5-14 yrs,II,Lower-inner quadrant,0
1975,5-14 yrs,II,Lower-outer quadrant,0
1975,5-14 yrs,II,Nipple,0
1975,5-14 yrs,II,Overlapping lesion,0
1975,5-14 yrs,II,Upper-inner quadrant,0
1975,5-14 yrs,II,Upper-outer quadrant,0
1975,5-14 yrs,III,Axillary tail,0
1975,5-14 yrs,III,"Breast, NOS",0
1975,5-14 yrs,III,Central portion,0
1975,5-14 yrs,III,Lower-inner quadrant,0
1975,5-14 yrs,III,Lower-outer quadrant,0
1975,5-14 yrs,III,Nipple,0
1975,5-14 yrs,III,Overlapping lesion,0
1975,5-14 yrs,III,Upper-inner quadrant,0
1975,5-14 yrs,III,Upper-outer quadrant,0
1975,5-14 yrs,IV,Axillary tail,0
1975,5-14 yrs,IV,"Breast, NOS",0
1975,5-14 yrs,IV,Central portion,0
1975,5-14 yrs,IV,Lower-inner quadrant,0
1975,5-14 yrs,IV,Lower-outer quadrant,0
1975,5-14 yrs,IV,Nipple,0
1975,5-14 yrs,IV,Overlapping lesion,0
1975,5-14 yrs,IV,Upper-inner quadrant,0
1975,5-14 yrs,IV,Upper-outer quadrant,0
1975,5-14 yrs,Unknown,Axillary tail,0
1975,5-14 yrs,Unknown,"Breast, NOS",0
1975,5-14 yrs,Unknown,Central portion,0
1975,5-14 yrs,Unknown,Lower-inner quadrant,0
1975,5-14 yrs,Unknown,Lower-outer quadrant,0
1975,5-14 yrs,Unknown,Nipple,0
1975,5-14 yrs,Unknown,Overlapping lesion,0
1975,5-14 yrs,Unknown,Upper-inner quadrant,0
1975,5-14 yrs,Unknown,Upper-outer quadrant,0
1975,15-24 yrs,0,Axillary tail,0
1975,15-24 yrs,0,"Breast, NOS",0
1975,15-24 yrs,0,Central portion,0
1975,15-24 yrs,0,Lower-inner quadrant,0
1975,15-24 yrs,0,Lower-outer quadrant,0
1975,15-24 yrs,0,Nipple,0
1975,15-24 yrs,0,Overlapping lesion,0
1975,15-24 yrs,0,Upper-inner quadrant,0
1975,15-24 yrs,0,Upper-outer quadrant,0
1975,15-24 yrs,I,Axillary tail,0
1975,15-24 yrs,I,"Breast, NOS",0
1975,15-24 yrs,I,Central portion,0
1975,15-24 yrs,I,Lower-inner quadrant,0
1975,15-24 yrs,I,Lower-outer quadrant,0
1975,15-24 yrs,I,Nipple,0
1975,15-24 yrs,I,Overlapping lesion,0
1975,15-24 yrs,I,Upper-inner quadrant,0
1975,15-24 yrs,I,Upper-outer quadrant,0
1975,15-24 yrs,II,Axillary tail,0
1975,15-24 yrs,II,"Breast, NOS",0
1975,15-24 yrs,II,Central portion,0
1975,15-24 yrs,II,Lower-inner quadrant,0
1975,15-24 yrs,II,Lower-outer quadrant,0
1975,15-24 yrs,II,Nipple,0
1975,15-24 yrs,II,Overlapping lesion,0
1975,15-24 yrs,II,Upper-inner quadrant,0
1975,15-24 yrs,II,Upper-outer quadrant,0
1975,15-24 yrs,III,Axillary tail,0
1975,15-24 yrs,III,"Breast, NOS",0
1975,15-24 yrs,III,Central portion,0
1975,15-24 yrs,III,Lower-inner quadrant,0
1975,15-24 yrs,III,Lower-outer quadrant,0
1975,15-24 yrs,III,Nipple,0
1975,15-24 yrs,III,Overlapping lesion,0
1975,15-24 yrs,III,Upper-inner quadrant,0
1975,15-24 yrs,III,Upper-outer quadrant,0
1975,15-24 yrs,IV,Axillary tail,0
1975,15-24 yrs,IV,"Breast, NOS",0
1975,15-24 yrs,IV,Central portion,0
1975,15-24 yrs,IV,Lower-inner quadrant,0
1975,15-24 yrs,IV,Lower-outer quadrant,0
1975,15-24 yrs,IV,Nipple,0
1975,15-24 yrs,IV,Overlapping lesion,0
1975,15-24 yrs,IV,Upper-inner quadrant,0
1975,15-24 yrs,IV,Upper-outer quadrant,0
1975,15-24 yrs,Unknown,Axillary tail,1
1975,15-24 yrs,Unknown,"Breast, NOS",4
1975,15-24 yrs,Unknown,Central portion,1
1975,15-24 yrs,Unknown,Lower-inner quadrant,0
1975,15-24 yrs,Unknown,Lower-outer quadrant,0
1975,15-24 yrs,Unknown,Nipple,0
1975,15-24 yrs,Unknown,Overlapping lesion,3
1975,15-24 yrs,Unknown,Upper-inner quadrant,2
1975,15-24 yrs,Unknown,Upper-outer quadrant,5
1975,25-34 yrs,0,Axillary tail,0
1975,25-34 yrs,0,"Breast, NOS",0
1975,25-34 yrs,0,Central portion,0
1975,25-34 yrs,0,Lower-inner quadrant,0
1975,25-34 yrs,0,Lower-outer quadrant,0
1975,25-34 yrs,0,Nipple,0
1975,25-34 yrs,0,Overlapping lesion,0
1975,25-34 yrs,0,Upper-inner quadrant,0
1975,25-34 yrs,0,Upper-outer quadrant,0
1975,25-34 yrs,I,Axillary tail,0
1975,25-34 yrs,I,"Breast, NOS",0
1975,25-34 yrs,I,Central portion,0
1975,25-34 yrs,I,Lower-inner quadrant,0
1975,25-34 yrs,I,Lower-outer quadrant,0
1975,25-34 yrs,I,Nipple,0
1975,25-34 yrs,I,Overlapping lesion,0
1975,25-34 yrs,I,Upper-inner quadrant,0
1975,25-34 yrs,I,Upper-outer quadrant,0
1975,25-34 yrs,II,Axillary tail,0
1975,25-34 yrs,II,"Breast, NOS",0
1975,25-34 yrs,II,Central portion,0
1975,25-34 yrs,II,Lower-inner quadrant,0
1975,25-34 yrs,II,Lower-outer quadrant,0
1975,25-34 yrs,II,Nipple,0
1975,25-34 yrs,II,Overlapping lesion,0
1975,25-34 yrs,II,Upper-inner quadrant,0
1975,25-34 yrs,II,Upper-outer quadrant,0
1975,25-34 yrs,III,Axillary tail,0
1975,25-34 yrs,III,"Breast, NOS",0
1975,25-34 yrs,III,Central portion,0
1975,25-34 yrs,III,Lower-inner quadrant,0
1975,25-34 yrs,III,Lower-outer quadrant,0
1975,25-34 yrs,III,Nipple,0
1975,25-34 yrs,III,Overlapping lesion,0
1975,25-34 yrs,III,Upper-inner quadrant,0
1975,25-34 yrs,III,Upper-outer quadrant,0
1975,25-34 yrs,IV,Axillary tail,0
1975,25-34 yrs,IV,"Breast, NOS",0
1975,25-34 yrs,IV,Central portion,0
1975,25-34 yrs,IV,Lower-inner quadrant,0
1975,25-34 yrs,IV,Lower-outer quadrant,0
1975,25-34 yrs,IV,Nipple,0
1975,25-34 yrs,IV,Overlapping lesion,0
1975,25-34 yrs,IV,Upper-inner quadrant,0
1975,25-34 yrs,IV,Upper-outer quadrant,0
1975,25-34 yrs,Unknown,Axillary tail,3
1975,25-34 yrs,Unknown,"Breast, NOS",78
1975,25-34 yrs,Unknown,Central portion,10
1975,25-34 yrs,Unknown,Lower-inner quadrant,9
1975,25-34 yrs,Unknown,Lower-outer quadrant,14
1975,25-34 yrs,Unknown,Nipple,3
1975,25-34 yrs,Unknown,Overlapping lesion,38
1975,25-34 yrs,Unknown,Upper-inner quadrant,18
1975,25-34 yrs,Unknown,Upper-outer quadrant,65
1975,35-44 yrs,0,Axillary tail,0
1975,35-44 yrs,0,"Breast, NOS",0
1975,35-44 yrs,0,Central portion,0
1975,35-44 yrs,0,Lower-inner quadrant,0
1975,35-44 yrs,0,Lower-outer quadrant,0
1975,35-44 yrs,0,Nipple,0
1975,35-44 yrs,0,Overlapping lesion,0
1975,35-44 yrs,0,Upper-inner quadrant,0
1975,35-44 yrs,0,Upper-outer quadrant,0
1975,35-44 yrs,I,Axillary tail,0
1975,35-44 yrs,I,"Breast, NOS",0
1975,35-44 yrs,I,Central portion,0
1975,35-44 yrs,I,Lower-inner quadrant,0
1975,35-44 yrs,I,Lower-outer quadrant,0
1975,35-44 yrs,I,Nipple,0
1975,35-44 yrs,I,Overlapping lesion,0
1975,35-44 yrs,I,Upper-inner quadrant,0
1975,35-44 yrs,I,Upper-outer quadrant,0
1975,35-44 yrs,II,Axillary tail,0
1975,35-44 yrs,II,"Breast, NOS",0
1975,35-44 yrs,II,Central portion,0
1975,35-44 yrs,II,Lower-inner quadrant,0
1975,35-44 yrs,II,Lower-outer quadrant,0
1975,35-44 yrs,II,Nipple,0
1975,35-44 yrs,II,Overlapping lesion,0
1975,35-44 yrs,II,Upper-inner quadrant,0
1975,35-44 yrs,II,Upper-outer quadrant,0
1975,35-44 yrs,III,Axillary tail,0
1975,35-44 yrs,III,"Breast, NOS",0
1975,35-44 yrs,III,Central portion,0
1975,35-44 yrs,III,Lower-inner quadrant,0
1975,35-44 yrs,III,Lower-outer quadrant,0
1975,35-44 yrs,III,Nipple,0
1975,35-44 yrs,III,Overlapping lesion,0
1975,35-44 yrs,III,Upper-inner quadrant,0
1975,35-44 yrs,III,Upper-outer quadrant,0
1975,35-44 yrs,IV,Axillary tail,0
1975,35-44 yrs,IV,"Breast, NOS",0
1975,35-44 yrs,IV,Central portion,0
1975,35-44 yrs,IV,Lower-inner quadrant,0
1975,35-44 yrs,IV,Lower-outer quadrant,0
1975,35-44 yrs,IV,Nipple,0
1975,35-44 yrs,IV,Overlapping lesion,0
1975,35-44 yrs,IV,Upper-inner quadrant,0
1975,35-44 yrs,IV,Upper-outer quadrant,0
1975,35-44 yrs,Unknown,Axillary tail,6
1975,35-44 yrs,Unknown,"Breast, NOS",308
1975,35-44 yrs,Unknown,Central portion,55
1975,35-44 yrs,Unknown,Lower-inner quadrant,27
1975,35-44 yrs,Unknown,Lower-outer quadrant,44
1975,35-44 yrs,Unknown,Nipple,11
1975,35-44 yrs,Unknown,Overlapping lesion,134
1975,35-44 yrs,Unknown,Upper-inner quadrant,65
1975,35-44 yrs,Unknown,Upper-outer quadrant,229
1975,45-54 yrs,0,Axillary tail,0
1975,45-54 yrs,0,"Breast, NOS",0
1975,45-54 yrs,0,Central portion,0
1975,45-54 yrs,0,Lower-inner quadrant,0
1975,45-54 yrs,0,Lower-outer quadrant,0
1975,45-54 yrs,0,Nipple,0
1975,45-54 yrs,0,Overlapping lesion,0
1975,45-54 yrs,0,Upper-inner quadrant,0
1975,45-54 yrs,0,Upper-outer quadrant,0
1975,45-54 yrs,I,Axillary tail,0
1975,45-54 yrs,I,"Breast, NOS",0
1975,45-54 yrs,I,Central portion,0
1975,45-54 yrs,I,Lower-inner quadrant,0
1975,45-54 yrs,I,Lower-outer quadrant,0
1975,45-54 yrs,I,Nipple,0
1975,45-54 yrs,I,Overlapping lesion,0
1975,45-54 yrs,I,Upper-inner quadrant,0
1975,45-54 yrs,I,Upper-outer quadrant,0
1975,45-54 yrs,II,Axillary tail,0
1975,45-54 yrs,II,"Breast, NOS",0
1975,45-54 yrs,II,Central portion,0
1975,45-54 yrs,II,Lower-inner quadrant,0
1975,45-54 yrs,II,Lower-outer quadrant,0
1975,45-54 yrs,II,Nipple,0
1975,45-54 yrs,II,Overlapping lesion,0
1975,45-54 yrs,II,Upper-inner quadrant,0
1975,45-54 yrs,II,Upper-outer quadrant,0
1975,45-54 yrs,III,Axillary tail,0
1975,45-54 yrs,III,"Breast, NOS",0
1975,45-54 yrs,III,Central portion,0
1975,45-54 yrs,III,Lower-inner quadrant,0
1975,45-54 yrs,III,Lower-outer quadrant,0
1975,45-54 yrs,III,Nipple,0
1975,45-54 yrs,III,Overlapping lesion,0
1975,45-54 yrs,III,Upper-inner quadrant,0
1975,45-54 yrs,III,Upper-outer quadrant,0
1975,45-54 yrs,IV,Axillary tail,0
1975,45-54 yrs,IV,"Breast, NOS",0
1975,45-54 yrs,IV,Central portion,0
1975,45-54 yrs,IV,Lower-inner quadrant,0
1975,45-54 yrs,IV,Lower-outer quadrant,0
1975,45-54 yrs,IV,Nipple,0
1975,45-54 yrs,IV,Overlapping lesion,0
1975,45-54 yrs,IV,Upper-inner quadrant,0
1975,45-54 yrs,IV,Upper-outer quadrant,0
1975,45-54 yrs,Unknown,Axillary tail,13
1975,45-54 yrs,Unknown,"Breast, NOS",645
1975,45-54 yrs,Unknown,Central portion,114
1975,45-54 yrs,Unknown,Lower-inner quadrant,68
1975,45-54 yrs,Unknown,Lower-outer quadrant,124
1975,45-54 yrs,Unknown,Nipple,16
1975,45-54 yrs,Unknown,Overlapping lesion,245
1975,45-54 yrs,Unknown,Upper-inner quadrant,134
1975,45-54 yrs,Unknown,Upper-outer quadrant,476
1975,55-64 yrs,0,Axillary tail,0
1975,55-64 yrs,0,"Breast, NOS",0
1975,55-64 yrs,0,Central portion,0
1975,55-64 yrs,0,Lower-inner quadrant,0
1975,55-64 yrs,0,Lower-outer quadrant,0
1975,55-64 yrs,0,Nipple,0
1975,55-64 yrs,0,Overlapping lesion,0
1975,55-64 yrs,0,Upper-inner quadrant,0
1975,55-64 yrs,0,Upper-outer quadrant,0
1975,55-64 yrs,I,Axillary tail,0
1975,55-64 yrs,I,"Breast, NOS",0
1975,55-64 yrs,I,Central portion,0
1975,55-64 yrs,I,Lower-inner quadrant,0
1975,55-64 yrs,I,Lower-outer quadrant,0
1975,55-64 yrs,I,Nipple,0
1975,55-64 yrs,I,Overlapping lesion,0
